"","caseid","government_should_regulate_businesses_wave_1","racial_discrimination_hurts_black_people_wave_1","immigrants_strengthen_country_wave_1","corporations_make_too_much_profit_wave_1","homosexuality_should_be_accepted_wave_1","stricter_environmental_laws_damaging_wave_1","government_wasteful_inefficient_wave_1","poor_people_have_it_easy_wave_1","government_cannot_afford_to_help_needy_wave_1","best_way_peace_military_strength_wave_1","government_should_regulate_businesses_wave_5","racial_discrimination_hurts_black_people_wave_5","immigrants_strengthen_country_wave_5","corporations_make_too_much_profit_wave_5","homosexuality_should_be_accepted_wave_5","stricter_environmental_laws_damaging_wave_5","government_wasteful_inefficient_wave_5","poor_people_have_it_easy_wave_5","government_cannot_afford_to_help_needy_wave_5","best_way_peace_military_strength_wave_5","treat","bot_followers","substantive_question_correct_wave_2","substantive_question_correct_wave_3","substantive_question_correct_wave_4","animal_correct_wave_2","animal_correct_wave_3","animal_correct_wave_4","party_id_wave_1","party_id_weak_strong_wave_1","political_wave_1","freq_twitter_wave_1","bin_maker","percent_co_party","ideo_homogeneity_offline","friends_count_wave_1","gender","education","family_income","birth_year","northeast","north_central","south","west","endtime_wave_5","how_often_visit_twitter_wave_1","how_often_visit_twitter_wave_5","ideology_seven_point_wave_1","ideology_seven_point_wave_5"
"306",306,7,7,7,7,7,1,5,1,1,1,7,7,6,7,7,1,2,1,1,1,1,1,1,0,1,0,0,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,15,837,2,4,1,1974,0,0,1,0,2017-11-18 11:53:07.412388,2,1,2,2
"307",307,6,6,6,7,7,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,40,837,1,5,8,NA,0,0,0,1,NA,2,NA,2,NA
"308",308,7,5,6,7,7,1,5,1,2,2,7,5,7,7,7,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,65,837,2,3,NA,1984.5,0,0,1,0,2017-11-18 15:24:45.893616,3,3,1,2
"309",309,6,4,6,4,7,2,5,2,1,5,6,5,6,4,7,2,4,1,2,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,40,837,2,5,12,1964,0,0,0,1,2017-11-18 20:50:09.251192,2,1,2,2
"310",310,4,5,5,5,5,3,5,4,4,5,3,5,5,4,6,2,5,5,5,3,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,50,837,1,4,NA,1943.5,0,0,0,1,2017-11-19 07:58:24.212429,3,3,4,4
"311",311,7,7,7,7,7,1,2,1,1,2,7,7,7,7,7,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.909090909090909,95,837,1,5,6,NA,1,0,0,0,2017-11-18 11:47:24.051725,3,1,1,1
"312",312,7,6,7,7,7,1,2,1,2,2,6,6,7,7,7,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.887851060185064,85,837,2,5,7,NA,0,0,1,0,2017-11-18 15:54:35.082418,3,2,2,1
"313",313,7,7,6,1,7,2,2,2,2,4,7,3,7,6,7,2,3,2,2,2,1,1,1,1,0,1,1,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,10,837,2,6,8,1964,0,0,1,0,2017-11-18 14:32:21.484047,2,3,2,2
"314",314,7,5,7,7,7,1,1,1,1,1,7,7,7,7,7,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,90,837,1,3,NA,1974,0,0,0,1,2017-11-18 12:07:26.012682,3,3,1,1
"315",315,7,5,6,4,7,2,5,4,3,2,6,5,7,4,6,3,6,1,2,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,95,837,2,5,6,1984.5,0,0,1,0,2017-11-18 11:21:00.964968,2,1,1,1
"316",316,7,5,6,7,7,4,5,2,1,2,7,7,6,7,6,2,4,2,3,4,1,1,1,1,1,1,1,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,30,837,1,3,11,1964,0,1,0,0,2017-11-20 11:39:27.750242,3,2,2,1
"317",317,7,6,7,7,7,1,2,1,1,1,7,6,7,7,7,1,2,1,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,99,837,1,5,12,1954,0,0,0,1,2017-11-19 11:04:15.567656,2,2,1,1
"318",318,6,5,6,5,7,1,5,1,1,2,6,6,7,7,7,1,2,NA,1,2,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,80,837,2,6,6,1943.5,0,1,0,0,2017-11-18 11:56:57.633854,2,4,1,1
"319",319,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.978589169171047,98,837,1,6,NA,1984.5,1,0,0,0,2017-11-19 20:12:20.277416,2,2,1,1
"320",320,7,7,7,6,7,1,2,1,1,2,7,7,7,4,7,1,1,1,1,1,1,0,0,NA,NA,0,NA,NA,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,90,837,1,5,11,1954,1,0,0,0,2017-11-28 14:13:03.235868,3,3,2,2
"321",321,7,5,7,7,7,1,6,1,1,1,7,5,7,6,7,1,6,1,1,1,1,1,1,1,1,1,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,75,837,2,5,5,NA,0,1,0,0,2017-11-18 14:52:36.177582,2,2,2,2
"322",322,6,6,7,3,7,1,3,1,5,2,7,7,7,4,7,1,5,1,2,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,93,837,2,3,12,1995,0,0,0,1,2017-11-19 12:44:33.988953,2,1,1,1
"323",323,7,5,7,4,7,1,1,1,1,2,7,6,7,7,7,1,1,1,1,2,1,NA,1,0,1,0,1,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.928571428571429,75,837,2,6,13,1964,1,0,0,0,2017-11-18 12:18:25.599848,2,2,2,1
"324",324,6,5,6,6,5,2,5,2,3,2,6,3,6,6,4,3,4,3,2,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,30,837,2,5,11,1984.5,0,1,0,0,2017-11-18 17:32:32.289238,3,2,3,3
"325",325,6,5,5,7,6,2,5,2,5,2,7,5,5,7,6,3,7,5,5,3,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,40,837,2,2,11,1954,0,1,0,0,2017-11-19 01:46:19.633886,2,2,4,3
"326",326,7,5,6,6,7,1,1,1,1,3,7,6,6,6,7,1,4,1,3,3,1,1,1,1,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.957470660150156,50,NA,2,5,8,NA,0,0,0,1,2017-11-18 22:14:24.133171,2,1,2,2
"327",327,6,5,5,3,5,3,4,2,2,1,6,6,7,7,6,3,2,1,1,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,90,837,1,5,NA,1954,0,1,0,0,2017-11-21 06:04:58.925089,3,7,1,1
"328",328,7,5,7,5,7,1,3,1,1,3,7,5,7,5,7,1,2,1,1,3,1,0,NA,NA,NA,NA,NA,NA,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,55,837,2,5,11,1954,0,1,0,0,2017-11-19 13:41:02.426296,2,3,2,2
"329",329,6,4,6,3,6,3,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,0,NA,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.951950522167156,40,837,1,NA,13,1964,1,0,0,0,NA,2,NA,3,NA
"330",330,6,6,6,6,7,1,2,1,2,2,7,6,7,6,7,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,90,837,2,5,10,1954,0,0,0,1,2017-11-20 17:59:19.478453,2,2,3,2
"331",331,7,6,6,6,7,1,6,2,1,2,7,6,7,5,7,1,5,1,2,2,1,1,1,1,1,1,1,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.980171387374777,15,837,2,5,4,NA,0,0,1,0,2017-11-18 16:19:21.366535,2,1,1,1
"332",332,6,6,7,6,7,2,5,2,3,5,6,7,6,6,7,1,6,2,2,4,1,1,1,1,1,1,0,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.9653323333996,40,837,2,5,NA,1954,0,0,1,0,2017-11-19 08:00:25.61034,2,2,2,2
"333",333,7,5,7,5,7,1,1,2,1,5,6,5,6,4,7,2,5,2,2,6,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,70,837,1,5,9,NA,1,0,0,0,2017-11-18 11:50:04.58079,3,5,2,2
"334",334,5,7,6,5,7,2,5,3,3,3,6,5,5,5,7,2,3,3,2,2,1,1,1,1,1,1,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,70,837,2,6,NA,1964,0,0,1,0,2017-11-18 11:43:04.989979,3,5,2,2
"335",335,6,7,7,6,7,1,5,1,3,5,7,6,7,7,7,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,70,NA,1,6,NA,1974,0,0,0,1,2017-11-18 11:46:28.6884,3,3,4,4
"336",336,7,5,7,6,7,2,2,1,1,4,7,6,7,7,7,1,2,1,1,1,0,NA,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.981468663611521,50,837,2,6,5,1954,0,0,0,1,2017-11-18 15:23:31.191765,2,1,2,2
"337",337,6,2,3,6,4,1,6,2,5,3,6,1,3,7,4,2,5,1,4,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0,100,837,2,NA,8,1954,1,0,0,0,2017-11-18 13:28:14.596714,2,1,4,4
"338",338,7,6,6,7,6,7,7,5,6,6,7,7,6,6,6,6,7,5,6,6,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0,50,837,1,5,NA,1984.5,0,0,1,0,2017-11-18 14:00:25.464622,2,1,4,6
"339",339,7,7,6,6,7,1,1,1,1,1,7,7,7,7,7,1,1,1,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.974110858592699,95,837,2,6,3,NA,0,0,0,1,2017-11-18 12:51:43.807215,3,1,1,1
"340",340,6,3,6,5,4,5,6,2,2,3,7,6,7,6,5,2,4,2,2,3,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,30,837,2,2,NA,1954,0,1,0,0,2017-11-22 00:07:29.580162,3,2,2,2
"341",341,7,6,7,7,7,1,2,1,1,2,7,6,7,6,7,1,3,1,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,90,837,2,6,4,NA,0,0,0,1,2017-11-18 11:27:24.922907,2,3,2,2
"342",342,6,7,7,5,7,1,2,1,1,3,7,7,7,6,7,1,3,1,1,5,1,1,0,1,1,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,100,837,2,4,4,NA,0,0,0,1,2017-11-18 11:20:51.826544,2,2,1,1
"343",343,5,2,6,6,5,3,5,3,5,3,6,3,5,6,4,3,5,5,6,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.833333333333333,80,837,2,5,9,1954,0,1,NA,0,2017-11-18 19:05:49.321758,3,3,3,3
"344",344,7,7,7,6,7,1,3,1,1,2,7,5,7,7,7,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,95,837,2,5,4,1984.5,0,0,1,0,2017-11-18 15:49:31.209272,3,1,2,1
"345",345,7,6,6,4,7,2,3,1,2,2,7,6,6,4,7,1,5,1,1,1,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,60,837,2,3,9,NA,1,0,0,0,2017-11-20 06:09:22.921375,3,6,2,2
"346",346,7,7,7,5,7,1,1,1,1,2,7,7,7,6,7,1,1,1,1,2,1,1,1,1,1,1,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,75,837,1,5,NA,1984.5,0,1,0,0,2017-11-18 12:05:35.151888,2,2,2,2
"347",347,4,3,7,5,7,5,7,1,2,2,7,3,7,5,6,4,1,1,1,3,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,80,837,1,4,7,NA,0,0,0,1,2017-11-18 12:45:19.721672,2,1,1,1
"348",348,6,6,6,4,7,2,6,1,2,2,6,7,7,5,7,1,2,1,1,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,25,837,1,3,3,1954,0,1,NA,0,2017-11-18 15:58:46.138521,3,3,1,1
"349",349,6,6,7,4,7,1,2,1,2,2,6,6,6,5,6,1,4,1,2,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.944553163731246,80,837,2,6,NA,1943.5,1,0,0,0,2017-11-20 15:21:44.82354,2,3,2,1
"350",350,2,5,6,7,7,6,2,1,2,4,7,5,6,7,7,4,1,1,6,4,0,0,0,NA,NA,0,NA,NA,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,90,837,2,4,NA,1964,0,0,1,0,2017-11-19 19:18:57.293961,3,1,4,4
"351",351,3,5,6,4,6,2,5,3,2,5,4,5,5,5,6,3,3,2,2,4,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0,70,837,2,5,NA,1984.5,1,0,0,0,2017-11-18 11:41:42.984879,3,1,2,3
"352",352,7,5,7,7,7,1,5,1,1,5,7,5,7,7,7,2,3,1,1,5,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.959242855127811,75,837,1,NA,NA,1954,0,1,0,0,2017-11-18 18:23:14.577929,2,2,1,1
"353",353,1,3,5,2,6,1,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,90,NA,2,5,10,1964,0,0,1,0,NA,2,NA,2,NA
"354",354,7,6,7,6,7,1,2,1,1,2,7,5,6,6,7,1,2,NA,1,4,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,95,837,1,5,9,1954,0,1,0,0,2017-11-19 05:52:37.602192,2,2,1,2
"355",355,2,7,7,4,7,5,4,1,1,2,7,5,7,7,7,1,2,1,1,2,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.91586972100724,60,837,1,6,7,NA,0,0,0,1,2017-11-19 08:37:06.250734,2,1,2,2
"356",356,7,7,7,6,7,1,2,1,1,2,7,7,7,7,7,1,2,1,1,2,1,1,1,1,1,0,0,1,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",0.985172691520007,25,837,2,5,8,NA,1,0,0,0,2017-11-22 14:56:27.024157,2,1,1,1
"357",357,4,1,6,4,1,4,4,1,7,4,4,5,5,4,1,3,4,1,3,5,1,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",NA,NA,837,2,2,1,1974,0,0,1,0,2017-11-18 19:18:20.812757,2,1,4,1
"358",358,6,6,6,6,6,2,2,1,2,2,7,6,6,6,7,2,3,1,2,3,0,0,0,0,0,0,0,0,1,1,"High News Interest","Not High Twitter Use","Strong Democrat, High News Interest, Not High Twitter Use",1,40,837,2,4,NA,1974,0,1,0,0,2017-11-20 14:19:18.858372,2,2,2,3
"359",359,6,4,5,7,7,3,7,1,3,2,6,5,5,7,7,3,7,1,3,3,1,1,1,1,1,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0.663763066202091,80,NA,2,5,13,1964,0,1,0,0,2017-11-19 06:07:19.553556,1,1,1,2
"360",360,5,2,4,5,6,4,5,1,1,5,6,2,4,6,5,4,6,1,2,6,1,1,0,1,0,0,1,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,70,NA,2,3,NA,1964,0,1,0,0,2017-11-19 11:39:12.645735,1,2,4,4
"361",361,5,7,6,6,7,4,5,5,4,1,7,7,6,6,7,2,5,1,3,4,0,0,NA,0,0,NA,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0,20,837,2,5,6,NA,0,0,1,0,2017-11-18 17:36:11.742815,1,1,1,2
"362",362,6,5,6,6,7,2,3,2,1,2,6,6,6,6,7,2,5,3,2,2,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,60,837,2,6,NA,1984.5,0,0,1,0,2017-11-18 21:50:59.079254,1,1,2,2
"363",363,7,6,5,6,6,6,6,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0.833333333333333,100,2511,1,5,NA,1984.5,0,0,0,1,NA,1,NA,4,NA
"364",364,7,1,4,6,6,3,4,1,5,4,6,2,4,6,6,4,3,2,5,4,1,1,1,1,1,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0.409907834101382,70,837,2,NA,3,1974,0,0,1,0,2017-11-25 09:34:32.938814,1,2,2,2
"365",365,4,7,6,7,3,6,7,7,3,3,5,6,5,6,3,5,6,6,2,2,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,60,837,2,5,1,1984.5,0,0,0,1,2017-11-18 21:22:37.319744,1,1,3,2
"366",366,5,3,3,5,7,4,4,5,5,5,5,3,3,5,7,5,3,6,3,5,1,1,1,1,1,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0.70708374574584,40,837,2,6,NA,1984.5,1,0,0,0,2017-11-18 16:40:20.582577,1,2,2,2
"367",367,5,6,6,7,7,4,4,1,2,3,4,4,6,7,7,2,4,2,3,4,1,0,1,1,1,0,0,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,70,837,2,6,6,1984.5,0,0,1,0,2017-11-18 20:44:24.556959,1,1,1,1
"368",368,7,6,6,6,7,1,2,1,2,2,7,6,7,7,7,1,2,1,1,4,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,75,NA,1,6,13,1984.5,1,0,0,0,2017-11-18 11:55:57.138109,1,1,1,1
"369",369,3,7,4,5,7,4,5,1,4,2,6,5,6,6,7,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,90,837,1,3,NA,1984.5,0,1,0,0,2017-11-18 12:00:09.321327,1,1,2,2
"370",370,2,7,6,7,7,3,5,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,40,837,2,3,NA,1995,1,0,0,0,2017-11-18 17:48:33.378901,1,1,2,1
"371",371,6,6,7,7,7,3,6,6,6,1,6,6,7,7,6,2,6,7,6,1,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,80,NA,2,6,6,1974,0,0,1,0,2017-11-18 12:33:15.969913,1,2,2,2
"372",372,1,7,7,7,7,1,5,1,1,1,7,7,7,7,7,1,4,1,1,1,1,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,30,837,2,6,NA,1984.5,1,0,0,0,2017-11-19 22:44:54.053986,1,3,2,2
"373",373,6,7,7,7,7,1,3,1,1,1,7,7,7,7,6,1,3,1,1,1,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,70,837,2,4,4,NA,0,0,1,0,2017-11-18 16:55:15.256641,1,1,2,2
"374",374,3,6,7,7,7,4,5,3,2,3,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0.8,80,837,2,5,NA,1974,0,1,0,0,2017-11-18 12:51:40.261175,1,1,1,1
"375",375,6,2,6,4,7,1,5,2,1,1,5,1,6,5,7,1,3,2,1,1,1,0,1,1,1,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",0,50,837,2,3,NA,1964,0,0,1,0,2017-11-18 14:43:51.753674,1,1,2,2
"376",376,7,7,7,7,7,1,2,1,2,1,7,7,7,7,7,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,80,837,1,5,10,NA,1,0,0,0,2017-11-21 11:13:44.9037,1,1,1,1
"377",377,7,7,6,6,7,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,80,837,1,5,6,1984.5,0,1,0,0,NA,1,NA,2,NA
"378",378,7,6,7,7,7,1,4,1,1,2,4,5,7,5,5,5,5,3,2,2,1,1,0,0,0,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",1,60,837,2,NA,9,1954,0,0,0,1,2017-11-18 14:57:46.313965,1,1,2,1
"379",379,6,7,6,6,7,1,2,2,2,2,6,6,6,6,7,2,2,2,2,4,0,0,0,0,0,0,0,0,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,40,837,1,5,NA,1974,0,0,0,1,2017-11-18 16:53:45.574789,1,1,2,2
"380",380,1,1,7,7,7,1,7,1,1,1,7,1,7,7,7,7,7,1,7,1,1,1,1,1,1,1,1,1,1,1,"Low News Interest","High Twitter Use","Strong Democrat, Low News Interest, High Twitter Use",NA,50,837,1,4,5,NA,0,1,0,0,2017-11-18 16:02:29.687683,1,1,6,4
"381",381,5,3,4,7,6,1,7,1,1,1,6,4,4,7,6,1,7,1,1,4,1,1,1,1,1,1,1,1,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",1,50,837,2,5,NA,1954,0,0,0,1,2017-11-18 14:00:09.597164,2,2,2,2
"382",382,5,6,1,6,2,3,5,2,2,5,5,6,1,7,2,2,6,1,2,6,1,1,1,1,1,1,0,0,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",0.874716553287982,90,837,2,NA,8,1954,0,0,1,0,2017-11-19 06:09:24.463799,2,2,3,3
"383",383,6,2,4,5,7,2,3,5,1,2,5,2,4,5,7,2,2,5,3,4,1,1,1,1,1,1,1,1,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",NA,80,837,2,3,7,1984.5,0,0,0,1,2017-11-18 15:59:34.908804,3,1,1,1
"384",384,6,7,7,4,7,1,2,3,4,2,7,7,7,7,7,1,4,1,1,4,1,1,1,1,0,1,1,1,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",1,70,837,NA,4,1,1974,0,0,1,0,2017-11-18 11:35:29.342337,2,1,1,1
"385",385,4,7,6,4,4,4,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",NA,100,837,2,2,3,1954,0,1,0,0,NA,3,NA,2,NA
"386",386,3,5,4,6,6,4,6,4,NA,4,1,4,4,6,6,1,6,3,1,1,0,0,0,0,0,0,0,0,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",0.508810798708931,55,NA,1,3,NA,1954,0,0,1,0,2017-11-20 15:54:17.375919,2,1,4,4
"387",387,7,5,7,7,6,6,6,6,6,6,5,7,6,7,5,7,5,6,5,4,0,0,0,0,0,0,0,0,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",NA,40,837,2,5,11,1984.5,0,0,1,0,2017-11-18 15:12:06.412952,3,2,1,1
"388",388,7,4,4,7,7,1,4,7,1,4,4,1,4,7,6,4,4,4,1,4,1,1,0,0,0,1,1,1,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",1,50,837,2,3,NA,1954,0,0,1,0,2017-11-18 13:16:47.48056,3,1,4,4
"389",389,5,5,6,4,7,4,5,3,4,4,4,5,6,4,7,4,5,2,4,3,1,1,1,1,1,1,1,1,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",NA,30,837,2,3,NA,1974,0,1,0,0,2017-11-19 02:34:46.985584,3,3,2,2
"390",390,5,3,6,5,7,1,6,4,2,4,6,4,6,7,7,1,5,4,4,4,0,0,0,0,0,0,0,0,1,1,"Low News Interest","Not High Twitter Use","Strong Democrat, Low News Interest, Not High Twitter Use",0.942226924901084,50,837,2,NA,9,1964,1,0,0,0,2017-11-18 14:39:01.1383,2,3,4,3
